epoch,global_step,train_loss,charbonnier,ssim_loss,edge_loss,fft_loss,learning_rate,validation_psnr,validation_ssim,validation_seconds,epoch_seconds,best_psnr,improved,skipped_amp_steps
1,340,0.08310149577172364,0.04286842217997593,0.3309904540286345,0.021590842429877206,0.025718927523121236,0.0002,25.214893086506397,0.611045482915038,36.4766968999993,141.09607490000053,25.214893086506397,True,0
2,680,0.06653645096675438,0.03592485153828474,0.25707425247220433,0.017069789290647296,0.02241874527569641,0.0001986634077334668,26.661434408594218,0.6870186277007427,37.954438599999776,143.09299380000084,26.661434408594218,True,0
3,1020,0.06317478847854277,0.03447899183477549,0.24204899405731875,0.016502231217044243,0.021638412299730323,0.0001946900896866622,27.164097844996903,0.7178516771455684,23.20247829999971,110.52141819999997,27.164097844996903,True,0
4,1360,0.06183685097733841,0.03395490341217202,0.2359131395816803,0.016234087450977635,0.02116076008635847,0.00018818842761823593,27.38261786194353,0.7273111312080884,22.8924633000006,95.70732399999906,27.38261786194353,True,0
5,1700,0.061217042420278575,0.03368966791450101,0.2330986606724122,0.016189457188524745,0.021010582228465115,0.0001793357699208466,27.500059322662096,0.7318091004262056,23.604797300000428,96.85544300000038,27.500059322662096,True,0
6,2040,0.060638315038865104,0.03333409321220482,0.23108100680743945,0.01603459933471373,0.02077675084309543,0.00016837359401932264,27.564996561902706,0.7347717529716142,21.61323420000008,93.8486912999997,27.564996561902706,True,0
7,2380,0.05985187378657215,0.0329469294177697,0.22780381721608778,0.015854692901484668,0.02065960974980365,0.00015560091949599783,27.622825433100427,0.7374629481087147,21.3864549000009,105.14707310000085,27.622825433100427,True,0
8,2720,0.05951285544125473,0.03284377520903945,0.22606908679008483,0.015825815297498862,0.020585348084568977,0.00014136615161599103,27.666189455218774,0.739527036237845,21.340320999999676,84.5790176999999,27.666189455218774,True,0
9,3060,0.05952990878482952,0.03289246679667164,0.22590301983496722,0.01586947085965863,0.02065562422880355,0.00012605757773979833,27.70433265199199,0.7413779944480876,21.062009499999476,84.91239450000103,27.70433265199199,True,0
10,3400,0.058876810074948216,0.03254121529376682,0.2233578029800864,0.015704662365126697,0.0204764435560826,0.00011009277585628859,27.74641542354055,0.7430496937767624,21.19738039999902,85.07428510000136,27.74641542354055,True,0
11,3740,0.05852412522825248,0.032321602245792745,0.22211089747793533,0.015604328573681414,0.02043870423153481,9.390722414371145e-05,27.77320701812605,0.7441669656430011,21.009199199999784,84.37540789999912,27.77320701812605,True,0
12,4080,0.058152698363889664,0.03212848670013687,0.22062966227531433,0.015506520716692595,0.02035311058108859,7.794242226020169e-05,27.795861720457772,0.745316606736036,21.059646800000337,84.04815489999964,27.795861720457772,True,0
13,4420,0.05793914435540928,0.03208171729655827,0.21941347279969384,0.015522110700497733,0.020354188556837686,6.263384838400902e-05,27.817262719111575,0.7461007812086845,21.10734880000018,84.37653060000048,27.817262719111575,True,0
14,4760,0.05748977653463097,0.03181931551764993,0.2178151463761049,0.015371845736551811,0.020135962508399698,4.839908050400218e-05,27.835920341179783,0.7470604885161168,21.050042200000462,84.31743689999894,27.835920341179783,True,0
15,5100,0.05748113929567968,0.03187950531239895,0.2174108706852969,0.015410314220935107,0.020256452895153095,3.562640598067739e-05,27.844946171082658,0.7477055384809417,21.188193399999363,84.23042089999944,27.844946171082658,True,0
16,5440,0.057036824535359354,0.03159684050718651,0.21591702962622922,0.015269651200951022,0.020090314291198463,2.4664230079153442e-05,27.859911898660457,0.7481157876231279,22.438545599999998,89.45833929999935,27.859911898660457,True,0
17,5780,0.05738017019432257,0.03181213985799867,0.21707573533058167,0.015408647368552492,0.020188928414684008,1.581157238176408e-05,27.855423754023636,0.748437526370229,21.088586699999723,86.59585759999936,27.859911898660457,False,0
18,6120,0.05728078950744341,0.03174499121001538,0.21674083173274994,0.015355715602088501,0.02025196388747324,9.309910313337805e-06,27.864551924600264,0.7487368185490381,20.961907099999735,84.37695069999972,27.864551924600264,True,0
19,6460,0.057138055442448925,0.03167923139956068,0.21615036059828366,0.015320175364339614,0.020160413147224224,5.336592266533213e-06,27.86798449629675,0.7488994812860194,21.308700900000986,84.68339539999943,27.86798449629675,True,0
20,6800,0.057168195517185855,0.03166726668200949,0.2163880863610436,0.015342629416023984,0.020172637118957937,4.000000000000001e-06,27.86932461868577,0.7489682718813334,21.00114829999984,83.82300899999973,27.86932461868577,True,0
