key,angle_degrees,psnr,ssim,model_inference_ms
000005,0,28.241518164158748,0.6717503174600266,731.9290999985242
000013,0,24.49013305103769,0.8898601889246637,30.05739999935031
000041,0,25.372605070473483,0.8493040675364286,34.0500999991491
000042,0,24.086748165148663,0.8182723686946645,36.70409999904223
000049,0,16.830460204200325,0.3001041108562125,35.175599998183316
000052,0,26.269808872187546,0.37470174343296886,33.6182999999437
000054,0,25.77087279769238,0.6936853234041213,31.14290000303299
000058,0,31.484184787219974,0.7115200768823624,33.290999999735504
000063,0,30.555045437412783,0.7759515198254585,34.70949999973527
000065,0,26.6934589041591,0.7070309423909001,33.10539999802131
000076,0,32.58523038191467,0.892623367004402,32.49040000082459
000081,0,25.994722488439198,0.7799134359674156,31.065699997270713
000089,0,28.666053352296693,0.8169746623983482,29.691199997614603
000093,0,35.03614319016626,0.8604482404398918,32.773099999758415
000095,0,35.14929203259678,0.8634167759227752,30.384900001081405
000105,0,32.96487445731428,0.9511681874768734,33.89220000099158
000118,0,26.31373347202451,0.7154512432650327,35.36759999769856
000149,0,28.481385794512345,0.5143773999556601,33.924499999557156
000160,0,30.65103976383122,0.8982267957588435,42.859999997745035
000161,0,30.13854308820786,0.8931701584956646,34.94140000111656
000162,0,29.645846683640045,0.8945270908175222,33.044200001313584
000167,0,29.405208145212786,0.790598372141147,35.29290000005858
000182,0,27.802312806402682,0.7579845358464382,30.65259999857517
000190,0,24.824128977112437,0.779199740881864,30.840600000374252
000227,0,24.64727216160753,0.47003987615166976,34.42019999783952
000247,0,26.441092509436043,0.9057213679311872,31.330400001024827
000251,0,22.612086871275842,0.777931110484004,36.97259999898961
000261,0,28.636151102285968,0.8336637748050457,31.718799997179303
000264,0,23.788867040847386,0.7648122392731235,31.527499999356223
000270,0,26.743692275862763,0.8283598139271736,35.23990000030608
000275,0,25.049327225606177,0.3013196266608834,32.407400001829956
000277,0,35.39384399292503,0.948541758690834,34.798399999999674
000279,0,32.99058267109187,0.9120241154966019,33.72010000020964
000286,0,29.624974702126753,0.773925446104806,33.6237000010442
000287,0,31.15189528100514,0.7594913461059183,34.425600002577994
000290,0,22.312565203663482,0.6704715739061041,30.48560000024736
