key,input_height,input_width,output_height,output_width,size_group,psnr,ssim,inference_time_ms
000005,128,128,256,256,128x128_to_256x256,26.312806183728323,0.5868832303211652,11.016300000846968
000013,128,128,256,256,128x128_to_256x256,18.95520490296836,0.2287132985470593,0.15050000001792796
000041,128,128,256,256,128x128_to_256x256,23.1007036904918,0.7737241709311029,0.1467000001866836
000042,128,128,256,256,128x128_to_256x256,21.668457103551894,0.7479228022900677,0.13480000052368268
000049,128,128,256,256,128x128_to_256x256,16.164903957124512,0.279313145496595,0.14969999938330147
000052,128,128,256,256,128x128_to_256x256,20.79359292645517,0.2784617196792415,0.5225000004429603
000054,128,128,256,256,128x128_to_256x256,22.987204491099998,0.6295949958998281,0.20819999917875975
000058,128,128,256,256,128x128_to_256x256,23.702542817036555,0.37713037477914035,0.14240000018617138
000063,128,128,256,256,128x128_to_256x256,22.422822921936568,0.3292916540290129,0.13789999866276048
000065,128,128,256,256,128x128_to_256x256,23.094208579739096,0.5282695851288914,0.19669999892357737
000076,128,128,256,256,128x128_to_256x256,25.43825000774275,0.6323636144848118,0.18230000023322646
000081,128,128,256,256,128x128_to_256x256,24.463207875602706,0.6980326949153067,0.17180000031657983
000089,128,128,256,256,128x128_to_256x256,22.228373325896644,0.5059158248936065,0.1661000005697133
000093,128,128,256,256,128x128_to_256x256,30.3068905023412,0.7243946016994678,0.2158999996026978
000095,128,128,256,256,128x128_to_256x256,30.555775276044983,0.7365347619359088,0.20290000065870117
000105,128,128,256,256,128x128_to_256x256,26.627170368501204,0.7931759004023917,0.1573999998072395
000118,128,128,256,256,128x128_to_256x256,24.053135006170344,0.6551503866749215,0.15890000031504314
000149,128,128,256,256,128x128_to_256x256,22.068603669782092,0.30420152339752365,0.1460999992559664
000160,128,128,256,256,128x128_to_256x256,26.459547946293583,0.7782215370307143,0.1453000004403293
000161,128,128,256,256,128x128_to_256x256,25.376340929579264,0.7401689092529574,0.14349999946716707
000162,128,128,256,256,128x128_to_256x256,24.765692001959366,0.737770801049242,0.14430000010179356
000167,128,128,256,256,128x128_to_256x256,23.52795023783981,0.4968330773220013,0.14759999976377003
000182,128,128,256,256,128x128_to_256x256,25.207792344747894,0.6765874212451712,0.13670000043930486
000190,128,128,256,256,128x128_to_256x256,23.24968170957186,0.7017629590067873,0.1950999994733138
000227,128,128,256,256,128x128_to_256x256,23.136282570584065,0.42689569594207594,0.17219999972439837
000247,128,128,256,256,128x128_to_256x256,19.962977417130638,0.178679564923523,0.1416000013705343
000251,128,128,256,256,128x128_to_256x256,22.32557752811897,0.7691552697529793,0.15639999946870375
000261,128,128,256,256,128x128_to_256x256,25.252907847076056,0.6845504095133077,0.17139999908977188
000264,128,128,256,256,128x128_to_256x256,21.752090826750404,0.6541715957147386,0.14990000090620015
000270,128,128,256,256,128x128_to_256x256,26.273013101555023,0.7928004397735,0.16370000048482325
000275,128,128,256,256,128x128_to_256x256,21.764344606272456,0.29838763822260567,0.17280000065511558
000277,128,128,256,256,128x128_to_256x256,29.632684226727697,0.8194336864923168,0.1849999989644857
000279,128,128,256,256,128x128_to_256x256,27.63485435572988,0.7370412059158553,0.12280000009923242
000286,128,128,256,256,128x128_to_256x256,26.536759147694777,0.6177701456577168,0.13010000111535192
000287,128,128,256,256,128x128_to_256x256,27.958151572302103,0.6083449925562814,0.13919999946665484
000290,128,128,256,256,128x128_to_256x256,21.38943591182006,0.6339384970806065,0.13109999963489827
000294,128,128,256,256,128x128_to_256x256,20.863667608307527,0.27179085264626995,0.1247000000148546
000295,128,128,256,256,128x128_to_256x256,20.39416806777096,0.26515005203146585,0.1399000011588214
000301,128,128,256,256,128x128_to_256x256,26.348238202158964,0.7982109252916877,0.19289999909233302
000314,128,128,256,256,128x128_to_256x256,23.56594961008247,0.30973684410398167,0.14270000065153
000320,128,128,256,256,128x128_to_256x256,20.205828020810877,0.6125130905870334,0.15299999904527795
000323,128,128,256,256,128x128_to_256x256,24.890381698941468,0.7217683726789528,0.1447000013286015
000325,128,128,256,256,128x128_to_256x256,28.58813933369703,0.8372153811982714,0.1391000005241949
000333,128,128,256,256,128x128_to_256x256,24.298099652501715,0.7151849919820723,0.13390000094659626
000339,128,128,256,256,128x128_to_256x256,26.56278128359756,0.6254787179934951,0.12490000153775327
000349,128,128,256,256,128x128_to_256x256,22.74621086368007,0.5777773552907672,0.13190000026952475
000355,128,128,256,256,128x128_to_256x256,14.38171186190896,0.2750707031868534,0.12829999832320027
000364,128,128,256,256,128x128_to_256x256,22.032555140861856,0.468457803123137,0.17469999875174835
000366,128,128,256,256,128x128_to_256x256,27.073549401041475,0.7634045883767064,0.14999999984866008
